transaction_id,user_id,transaction_amount,transaction_timestamp,user_location,merchant_location,merchant_category,device_id,device_type,payment_method,account_balance,transaction_status,ip_address,hour,day,is_fraud,time_diff,user_avg_amount,amount_deviation,txn_count,rapid_txn,location_change,device_change,odd_hour,dormant,amt_balance_ratio,amt_zscore,is_pending
TXN-BFAB1556A909,USR0001,473.5813947990873,2024-04-01 03:03:31.000000,19,37,1,177,0,0,58157.14,success,340,3,0,0,0.0,374.96383823789154,98.61755656119578,25,1,1,1,1,0,0.008142994167266823,0.6595061645320063,0
TXN-BC3806284B2F,USR0001,373.2334915141155,2024-04-01 13:07:18.827444,60,37,5,177,0,0,57783.9,success,858,13,0,0,36227.827444,374.96383823789154,1.7303467237760517,25,0,1,0,0,0,0.006459014232336051,-0.011571715736030495,0
TXN-1CFEBE1835BA,USR0001,358.0798002108629,2024-04-02 04:53:00.000000,60,13,5,177,0,2,57425.82,success,1290,4,1,0,56741.172556,374.96383823789154,16.884038027028623,25,0,0,0,1,0,0.0062354105661929895,-0.11291221917578578,0
TXN-B2F3A5F053BC,USR0001,358.0,2024-04-04 02:44:00.000000,60,29,7,177,0,0,57067.74,success,839,2,3,0,165060.0,374.96383823789154,16.963838237891537,25,0,0,0,1,1,0.006273136571790441,-0.11344588410148679,0
TXN-8E4F07913EFA,USR0001,644.65,2024-04-04 06:15:03.000000,17,15,4,176,0,0,56423.09,success,838,6,3,0,12663.0,374.96383823789154,269.68616176210844,25,0,1,1,0,0,0.011425084569374536,1.8035296388703155,0
TXN-E8333D1E96ED,USR0001,516.36,2024-04-05 02:12:00.000000,47,29,3,177,0,0,56423.09,pending,857,2,4,1,71817.0,374.96383823789154,141.39616176210848,25,0,1,1,1,0,0.00915141032846077,0.9455886312231763,1
TXN-938D5D626B6C,USR0001,320.8911839382214,2024-04-07 00:11:47.000000,60,37,2,177,0,1,56102.2,success,843,0,6,0,165587.0,374.96383823789154,54.07265429967015,25,0,1,0,1,1,0.0057196591983740925,-0.36161156376969705,0
TXN-1ACA3AA98DFD,USR0001,480.8265839281109,2024-04-08 08:53:43.000000,47,29,2,177,0,0,55621.37,success,856,8,0,0,117716.0,374.96383823789154,105.86274569021936,25,0,1,0,0,1,0.008644482137818127,0.7079584590362434,0
TXN-B2B195A4BC69,USR0001,433.3220490015315,2024-04-08 13:46:03.547106,11,26,3,177,0,0,55188.05,success,849,13,0,0,17540.547106,374.96383823789154,58.35821076363999,25,0,1,0,0,0,0.007851594637007369,0.39027127716144233,0
TXN-61C57A3763E6,USR0001,92.72,2024-04-11 15:58:36.297260,60,14,1,177,0,0,55095.33,success,851,15,3,0,267152.750154,374.96383823789154,282.2438382378915,25,0,1,0,0,1,0.001682870710263279,-1.887509260113905,0
